population	Belen_pop_name	Belen_analysis_name	Belen_analysis_name	individualID
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_03
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_14
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_17
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_19
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_20
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_LOWADM	SKJERN_2007_LOWADM	SKJ2007_24
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_02
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_04
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_05
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_06
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_08
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_09
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_16
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_18
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_22
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_25
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_26
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_27
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_28
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_MEDIUMADM	SKJERN_2007_LOWADM	SKJ2007_29
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_PURE	SKJERN_2007_LOWADM	SKJ2007_11
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_PURE	SKJERN_2007_LOWADM	SKJ2007_12
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_PURE	SKJERN_2007_LOWADM	SKJ2007_13
SKJERNHISTORISK	SKJERN_2007	SKJERN_2007_PURE	SKJERN_2007_LOWADM	SKJ2007_23
SKJERN10	SKJERN_2010	SKJERN_2010_HIGHADM	SKJERN_2010_HIGHADM	SKJ2010_01
SKJERN10	SKJERN_2010	SKJERN_2010_HIGHADM	SKJERN_2010_HIGHADM	SKJ2010_24
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_03
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_04
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_05
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_06
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_07
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_08
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_10
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_11
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_13
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_20
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_27
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_29
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_31
SKJERN10	SKJERN_2010	SKJERN_2010_LOWADM	SKJERN_2010_LOWADM	SKJ2010_32
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_02
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_09
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_12
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_19
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_22
SKJERN10	SKJERN_2010	SKJERN_2010_MEDIUMADM	SKJERN_2010_LOWADM	SKJ2010_25
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_14
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_15
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_16
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_17
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_18
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_21
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_23
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_26
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_28
SKJERN10	SKJERN_2010	SKJERN_2010_PURE	SKJERN_2010_LOWADM	SKJ2010_30
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_02
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_05
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_06
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_08
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_09
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_14
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_20
Skjern19	SKJERN_2019	SKJERN_2019_LOWADM	SKJERN_2019_LOWADM	SKJ2019_23
Skjern19	SKJERN_2019	SKJERN_2019_MEDIUMADM	SKJERN_2019_LOWADM	SKJ2019_01
Skjern19	SKJERN_2019	SKJERN_2019_MEDIUMADM	SKJERN_2019_LOWADM	SKJ2019_12
Skjern19	SKJERN_2019	SKJERN_2019_MEDIUMADM	SKJERN_2019_LOWADM	SKJ2019_27
Skjern19	SKJERN_2019	SKJERN_2019_MEDIUMADM	SKJERN_2019_LOWADM	SKJ2019_30
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_03
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_04
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_07
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_10
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_11
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_13
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_15
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_16
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_17
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_18
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_19
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_21
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_22
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_24
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_25
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_26
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_28
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_29
Skjern19	SKJERN_2019	SKJERN_2019_PURE	SKJERN_2019_LOWADM	SKJ2019_31
